,layer_height,wall_thickness,infill_density,nozzle_temperature,bed_temperature,print_speed,fan_speed,roughness,tension_strenght,elongation,material_pla,infill_pattern_grid
0,0.02,8,90,220,60,40,0,25,18,1.2,FALSE,TRUE
1,0.02,7,90,225,65,40,25,32,16,1.4,FALSE,FALSE
2,0.02,1,80,230,70,40,50,40,8,0.8,FALSE,TRUE
3,0.02,4,70,240,75,40,75,68,10,0.5,FALSE,FALSE
4,0.02,6,90,250,80,40,100,92,5,0.7,FALSE,TRUE
5,0.02,10,40,200,60,40,0,60,24,1.1,TRUE,FALSE
6,0.02,8,90,250,90,40,100,98,5,0.95,FALSE,TRUE
7,0.02,10,10,210,70,40,50,21,14,1.5,TRUE,FALSE
8,0.02,9,70,215,75,40,75,24,27,1.4,TRUE,TRUE
9,0.02,8,40,220,80,40,100,30,25,1.7,TRUE,FALSE
10,0.06,6,80,220,60,60,0,75,37,2.4,FALSE,TRUE
11,0.06,2,20,225,65,60,25,92,12,1.4,FALSE,FALSE
12,0.06,10,50,230,70,60,50,118,16,1.3,FALSE,TRUE
13,0.06,6,10,240,75,60,75,200,9,0.8,FALSE,FALSE
14,0.06,3,50,250,80,60,100,220,10,1,FALSE,TRUE
15,0.06,10,90,200,60,60,0,126,27,2.2,TRUE,FALSE
16,0.06,3,40,205,65,60,25,145,23,1.9,TRUE,TRUE
17,0.06,8,30,210,70,60,50,88,26,1.6,TRUE,FALSE
18,0.06,5,90,215,90,60,75,92,38,2.2,TRUE,TRUE
19,0.06,10,50,220,80,60,100,74,29,2,TRUE,FALSE
20,0.1,1,40,220,60,90,0,120,16,1.2,FALSE,TRUE
21,0.1,2,30,225,65,90,25,144,12,1.1,FALSE,FALSE
22,0.1,1,50,230,70,90,50,265,10,0.9,FALSE,TRUE
23,0.1,9,80,240,75,90,75,312,19,0.8,FALSE,FALSE
24,0.1,2,60,250,80,90,100,368,8,0.4,FALSE,TRUE
25,0.1,1,50,200,60,90,0,180,11,1.6,TRUE,FALSE
26,0.1,4,40,205,65,90,25,176,12,1.2,TRUE,TRUE
27,0.1,3,50,210,70,90,50,128,18,1.8,TRUE,FALSE
28,0.1,4,90,215,75,90,75,138,34,2.9,TRUE,TRUE
29,0.09,8,60,210,70,60,50,98,26,1.6,TRUE,FALSE
30,0.15,4,50,220,60,60,0,168,27,2.4,FALSE,TRUE
31,0.15,7,10,225,65,60,25,154,19,1.8,FALSE,FALSE
32,0.15,6,50,230,70,60,50,225,18,1.4,FALSE,TRUE
33,0.15,1,50,240,75,60,75,289,9,0.6,FALSE,FALSE
34,0.15,7,80,250,80,60,100,326,13,0.7,FALSE,TRUE
35,0.15,3,80,200,60,60,0,192,33,2.8,TRUE,FALSE
36,0.15,4,50,205,65,60,25,212,24,1.8,TRUE,TRUE
37,0.15,10,30,210,70,60,50,168,26,2.1,TRUE,FALSE
38,0.15,6,40,215,75,60,75,172,22,2.3,TRUE,TRUE
39,0.15,1,10,220,80,60,100,163,4,0.7,TRUE,FALSE
40,0.2,4,80,220,60,40,0,212,35,3.3,FALSE,TRUE
41,0.2,9,90,225,65,40,25,276,34,3.1,FALSE,FALSE
42,0.2,7,30,230,70,40,50,298,28,2.2,FALSE,TRUE
43,0.2,6,90,240,75,40,75,360,28,1.6,FALSE,FALSE
44,0.2,3,80,250,80,40,100,357,21,1.1,FALSE,TRUE
45,0.2,5,60,200,60,40,0,321,28,2.7,TRUE,FALSE
46,0.2,4,20,205,65,40,25,265,14,1.8,TRUE,TRUE
47,0.2,5,60,210,70,40,50,278,30,3.2,TRUE,FALSE
48,0.2,7,40,215,75,40,75,244,29,3.2,TRUE,TRUE
49,0.2,3,60,220,80,40,100,220,27,3.1,TRUE,FALSE
50,0.03,8,90,220,60,40,0,25,18,1.2,FALSE,TRUE
51,0.03,10,20,220,60,60,0,75,37,2.4,FALSE,FALSE
52,0.02,6,10,205,65,40,25,55,12,1.3,TRUE,TRUE
53,0.06,10,100,200,60,60,0,126,27,2.2,TRUE,FALSE
54,0.02,6,12,205,65,40,28,55,12,1.8,TRUE,TRUE
55,0.1,6,80,250,75,90,75,312,19,0.8,FALSE,FALSE
56,0.1,4,95,220,75,90,100,121,14,1.5,TRUE,TRUE
57,0.15,3,10,225,65,70,25,154,19,1.8,FALSE,FALSE
58,0.15,7,50,230,70,60,50,225,18,1.4,FALSE,TRUE
59,0.15,3,85,220,60,60,0,192,33,2.8,TRUE,FALSE
60,0.06,12,50,230,80,65,100,74,29,2.1,TRUE,FALSE
61,0.06,9,10,200,75,80,75,200,9,0.9,FALSE,FALSE
62,0.04,2,80,230,70,40,50,40,12,0.8,FALSE,TRUE
63,0.02,4.5,70,240,85,40,75,68,10,0.8,FALSE,FALSE
64,0.05,6,10,245,75,85,75,205,5,0.5,FALSE,FALSE
65,0.15,1,50,220,60,90,0,120,16,1.5,FALSE,TRUE
